STABR;FSCSKEY;LIBID;LIBNAME;ADDRESS;CITY;ZIP;PHONE;VISITS;LONGITUDE;LATITUDE
AK;AK0027;AK0027-002;COPPER VALLEY COMMUNITY LIBRARY;MILE 186 GLENN HIGHWAY;GLENNALLEN;99588;9078225427;7332;-145561;6210944
AK;AK0028;AK0028-002;GUSTAVUS PUBLIC LIBRARY;14 GUSTAVUS ROAD;GUSTAVUS;99826;9076972350;11416;-135706;5842053
AK;AK0029;AK0029-002;HAINES BOROUGH PUBLIC LIBRARY;111 THIRD AVENUE SOUTH;HAINES;99827;9077662545;80388;-135448;5923346
AK;AK0030;AK0030-002;TRI-VALLEY COMMUNITY LIBRARY;400 SUNTRANA STREET;HEALY;99743;9076832507;5102;-149018;638735
AK;AK0031;AK0031-002;HOLLIS PUBLIC LIBRARY;NO. 1 HOLLIS CHILKAT ROAD;HOLLIS;99950;9075307112;1612;-133075;5578187
AK;AK0032;AK0032-002;HOMER PUBLIC LIBRARY;500 HAZEL AVENUE;HOMER;99603;9072353180;130746;-151532;5964372
AK;AK0033;AK0033-002;HOPE SUNRISE COMMUNITY LIBRARY;18487 A AVENUE;HOPE;99605;9077823121;1920;-149641;6091846
AK;AK0035;AK0035-004;JUNEAU PUBLIC LIBRARIES;292 MARINE WAY;JUNEAU;99801;9075860443;208864;-134403;5829848
AK;AK0037;AK0037-002;KASILOF PUBLIC LIBRARY;58231 STERLING HIGHWAY;KASILOF;99610;9072525886;3560;-151266;6030805
AK;AK0038;AK0038-002;KENAI COMMUNITY LIBRARY;163 MAIN STREET LOOP;KENAI;99611;9072834378;98412;-151246;6055908
AK;AK0039;AK0039-002;KETCHIKAN PUBLIC LIBRARY;1110 COPPER RIDGE LANE;KETCHIKAN;99901;9072253331;87979;-131651;5534863
AK;AK0040;AK0040-002;KODIAK PUBLIC LIBRARY;612 EGAN WAY;KODIAK;99615;9074868686;182819;-152397;5779261
AK;AK0041;AK0041-002;CHUKCHI CONSORTIUM LIBRARY;604 THIRD STREET;KOTZEBUE;99752;9074422410;23236;-162587;668993
AK;AK0044;AK0044-002;MCGRATH COMMUNITY LIBRARY;249 F STREET;MCGRATH;99627;9075243843;1269;-155277;6290772
AK;AK0046;AK0046-002;CENTENNIAL LIBRARY;4TH & MILTON STREET;METLAKATLA;99926;9078866000;1950;-131575;5512848
AK;AK0047;AK0047-004;MARTIN MONSEN REGIONAL LIBRARY;101 MAIN STREET;NAKNEK;99633;9072464465;9921;-156989;5887695
AK;AK0048;AK0048-002;NENANA PUBLIC LIBRARY;106 EAST SECOND STREET;NENANA;99760;9078325812;5200;-149095;6456239
AK;AK0051;AK0051-002;NINILCHIK COMMUNITY LIBRARY;15850 STERLING HIGHWAY;NINILCHIK;99639;9075673333;3640;-151674;6004186
AK;AK0052;AK0052-002;KEGOAYAH KOZGA LIBRARY;100 WEST 7TH AVENUE;NOME;99762;9074436628;26500;-165398;6450265
AK;AK0055;AK0055-002;PALMER PUBLIC LIBRARY;655 SOUTH VALLEY WAY;PALMER;99645;9077611371;110500;-149112;6160052
AK;AK0056;AK0056-002;PELICAN PUBLIC LIBRARY;166 SALMON WAY;PELICAN;99832;9077352500;4222;-136225;5795946
AK;AK0057;AK0057-002;PETERSBURG PUBLIC LIBRARY;14 SOUTH SECOND STREET;PETERSBURG;99833;9077723349;58794;-132954;5681089
AK;AK0058;AK0058-002;JESSIE WAKEFIELD MEMORIAL LIBRARY;207 SPRUCE DRIVE;PORT LIONS;99550;9074542288;2280;-152884;5786623
AK;AK0061;AK0061-002;ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY;930 TOLSTOI BOULEVARD;ST. PAUL;99660;9075463334;520;-170279;5712076
AK;AK0064;AK0064-002;SELDOVIA PUBLIC LIBRARY;260 SELDOVIA STREET;SELDOVIA;99663;9072347662;3968;-151714;5943871
AK;AK0065;AK0065-002;SEWARD COMMUNITY LIBRARY AND MUSEUM;239 6TH AVENUE;SEWARD;99664;9072244082;74783;-149437;6010194
AK;AK0067;AK0067-002;SITKA PUBLIC LIBRARY;320 HARBOR DRIVE;SITKA;99835;9077478708;153146;-135334;5704968
AK;AK0068;AK0068-002;SKAGWAY PUBLIC LIBRARY;769 STATE STREET;SKAGWAY;99840;9079832665;31128;-135311;5945864
AK;AK0069;AK0069-002;JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY;235 NORTH BINKLEY ST.;SOLDOTNA;99669;9072624227;112654;-151072;6049245
AK;AK0070;AK0070-002;SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER;11301 NORTH CHICKALOON WAY;SUTTON;99674;9078617640;20511;-148877;6171143
AK;AK0072;AK0072-002;TALKEETNA PUBLIC LIBRARY;24645 SOUTH TALKEETNA SPUR ROAD;TALKEETNA;99676;9078617645;47663;-150089;6230074
AK;AK0073;AK0073-002;TANANA COMMUNITY/SCHOOL LIBRARY;89 FRONT STREET;TANANA;99777;9073667356;1700;-152057;6518317
AK;AK0074;AK0074-002;DERMOTT O`TOOLE MEMORIAL LIBRARY;707 WEST TENAKEE AVENUE;TENAKEE SPRINGS;99841;9077362248;1308;-135227;5778068
AK;AK0075;AK0075-002;TOK COMMUNITY LIBRARY;MILE 1314 ALASKA HIGHWAY;TOK;99780;9078835623;4567;-141519;6289847
AK;AK0077;AK0077-002;VALDEZ CONSORTIUM LIBRARY;212 FAIRBANKS DRIVE;VALDEZ;99686;9078354632;31745;-146353;6112984
AK;AK0078;AK0078-002;WASILLA PUBLIC LIBRARY;500 N CRUSEY STREET;WASILLA;99654;9073765913;126635;-149429;6158438
AK;AK0080;AK0080-002;WILLOW PUBLIC LIBRARY;23557 WEST WILLOW COMMUNITY CENTER;WILLOW;99688;9078617655;33319;-150039;6174536
AK;AK0081;AK0081-002;IRENE INGLE PUBLIC LIBRARY;124 SECOND STREET;WRANGELL;99929;9078743535;27768;-132387;5647322
AK;AK0082;AK0082-002;AKIAK SCHOOL/COMMUNITY LIBRARY;1 KILBUCK ROAD;AKIAK;99552;9077654631;6065;-161218;6091118
AK;AK0085;AK0085-002;FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY;MILE 5 EDGERTON HIGHWAY;KENNY LAKE;99573;9078223015;1505;-144895;6171404
AK;AK0094;AK0094-010;TUZZY CONSORTIUM LIBRARY;5421 NORTH STAR STREET;BARROW;99723;9078524050;65358;-156753;7129885
AK;AK0095;AK0095-002;AKIACHAK SCHOOL/COMMUNITY LIBRARY;1 MAIN STREET;AKIACHAK;99551;9078253684;6793;-161397;608887
AK;AK0099;AK0099-002;MOOSE PASS PUBLIC LIBRARY;38100 DEPOT ROAD;MOOSE PASS;99631;9072883111;357;-149366;604864
AK;AK0100;AK0100-002;TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY;9127 MAIN STREET;NIKOLAI;99691;9072932427;1888;-16886;5293941
AK;AK0101;AK0101-002;SAND POINT COMMUNITY/SCHOOL LIBRARY;123 RED COVE ROAD;SAND POINT;99661;9073832393;18100;-160481;5535336
AK;AK0102;AK0102-002;EGEGIK VILLAGE LIBRARY;289 AIRPORT ROAD;EGEGIK;99579;9072332211;500;-157357;5820764
AK;AK0103;AK0103-002;TRAPPER CREEK PUBLIC LIBRARY;8901 EAST DEVONSHIRE DRIVE;TRAPPER CREEK;99683;9078617650;5845;-150238;6230724
AK;AK0104;AK0104-002;HOLY CROSS COMMUNITY/SCHOOL LIBRARY;210 MAIN STREET;HOLY CROSS;99602;9074767131;986;-160023;6205725
AK;AK0113;AK0113-002;OUZINKIE TRIBAL MEDIA CENTER;216 THIRD STREET;OUZINKIE;99644;9076802323;3100;-152508;5792117
AK;AK0114;AK0114-002;ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY;NO. 1 ELEMENTARY SCHOOL ROAD;ST. GEORGE;99591;9078592228;-3;-169544528;56602841
AK;AK0115;AK0115-002;UNALASKA PUBLIC LIBRARY;64 ELEANOR DRIVE;UNALASKA;99685;9075815060;52382;-166531;5387127
AK;AK0116;AK0116-002;ANIAK PUBLIC LIBRARY;270 RIVERFRONT DRIVE;ANIAK;99557;9076754435;2000;-156703;6149699
AK;AK0117;AK0117-002;HYDER PUBLIC LIBRARY;50 MAIN STREET;HYDER;99923;2506369169;1456;-130035;5592413
AK;AK0120;AK0120-002;INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY;101 PINE STREET;SHAGELUK;99665;9074738206;2201;-159532;6265484
AK;AK0121;AK0121-002;BLACKWELL COMMUNITY/SCHOOL LIBRARY;100 WHITE SPRUCE TRAIL;ANVIK;99558;9076636348;1049;-160196;6265204
AK;AK0122;AK0122-002;DAVID LOUIS COMMUNITY/SCHOOL LIBRARY;DAVID LOUIS SCHOOL BUILDING;GRAYLING;99590;9074535135;450;-160065;6290567
AK;AK0124;AK0124-002;LAKE MINCHUMINA COMMUNITY LIBRARY;123 FRONT STREET;LAKE MINCHUMINA;99757;9076743211;2071;-152427;6384894
AK;AK0126;AK0126-002;IGIUGIG TRIBAL LIBRARY;1 AIRPORT WAY;IGIUGIG;99613;9075333211;1084;-156573;5874892
AK;AK0127;AK0127-002;COFFMAN COVE COMMUNITY LIBRARY;108 NW DENALI ALLEY;COFFMAN COVE;99918;9073292233;4183;-132829;560137
AK;AK0130;AK0130-002;THORNE BAY PUBLIC LIBRARY;120 FREEMAN DRIVE;THORNE BAY;99919;9078283303;4768;-132523;5568664
AK;AK0134;AK0134-001;WHALE PASS COMMUNITY LIBRARY;BEACH ROAD LOT 3 BLOCK 14;WHALE PASS;99950;9078465226;2307;-133075;5578187
AK;AK0135;AK0135-001;TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER;2ND AND MAIN STREET;TOGIAK;99678;9074935566;7215;-160392;5906152
AK;AK0137;AK0137-001;KLUKWAN COMMUNITY/SCHOOL LIBRARY;315 MISSION STREET;KLUKWAN;99827;9077675551;1380;-135894;593994
AK;AK0139;AK0139-002;SAMUEL B. FOSS LIBRARY;1 WATERFRONT WAY;PEDRO BAY;99647;9078502225;1021;-154121;5978507
AK;AK0140;AK0140;EDNA BAY COMMUNITY LIBRARY;100 SCHOOL HOUSE ROAD;EDNA BAY;99950;9075946109;200;-133075;5578187
AL;AL0001;100-000;CARL ELLIOTT REGIONAL LIBRARY SYSTEM;98 18TH STREET EAST;JASPER;35501;2052212568;0;-872737;3383346
AL;AL0002;100-001;ARLEY PUBLIC LIBRARY;6788 COUNTY ROAD 41;ARLEY;35541;2053870129;4328;-872135;3407597
AL;AL0005;100-004;DOUBLE SPRINGS PUBLIC LIBRARY;637 BLAKE DRIVE;DOUBLE SPRINGS;35553;2054892412;7417;-873833;3414701
AL;AL0006;100-005;HALEYVILLE PUBLIC LIBRARY;913 20TH STREET;HALEYVILLE;35565;2054867450;8651;-876233;3422638
AL;AL0007;100-006;JASPER PUBLIC LIBRARY;98 EAST 18TH STREET;JASPER;35501;2052218512;39606;-872737;3383346
AL;AL0009;100-008;SUMITON PUBLIC LIBRARY;416 STATE STREET;SUMITON;35148;2056487451;9306;-870495;3375111
AL;AL0010;101-000;CHEAHA REGIONAL LIBRARY;935 COLEMAN STREET;HEFLIN;36264;2564637125;2300;-855889;336438
AL;AL0011;101-001;ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY;736 COLLEGE STREET;ROANOKE;36274;3348632632;31653;-853702;331495
AL;AL0012;101-002;ASHLAND CITY PUBLIC LIBRARY;11 2ND AVENUE NORTH;ASHLAND;36251;2563543427;8987;-858378;332748
AL;AL0013;999-028;SYLACAUGA - B. B. COMER MEMORIAL LIBRARY;314 NORTH BROADWAY AVENUE;SYLACAUGA;35150;2562490961;61984;-862507;3317236
AL;AL0014;101-004;CHEROKEE COUNTY PUBLIC LIBRARY;310 MARY STREET;CENTRE;35960;2569275838;42081;-856763;3414939
AL;AL0015;101-005;CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY;124 NINTH AVENUE SW;CHILDERSBURG;35044;2563787239;43008;-863555;3327713
AL;AL0016;101-006;LINCOLN PUBLIC LIBRARY;47475 US HWY 78;LINCOLN;35096;2057634080;9856;-86122;3360373
AL;AL0017;101-007;LINEVILLE PUBLIC LIBRARY;60119 HIGHWAY 49;LINEVILLE;36266;2563965162;4616;-857544;3331114
AL;AL0018;101-008;HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY;541 ROSS STREET;HEFLIN;36264;2564632259;4968;-855878;3364392
AL;AL0019;101-009;OXFORD PUBLIC LIBRARY;110 EAST 6TH STREET;OXFORD;36203;2568311750;60133;-85835;3360958
AL;AL0020;999-070;TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY;202 SOUTH STREET EAST;TALLADEGA;35160;2563624211;68120;-860993;334332
AL;AL0022;999-033;ABBEVILLE MEMORIAL LIBRARY;301 KIRKLAND STREET;ABBEVILLE;36310;3345852818;19451;-852504;3156727
AL;AL0024;999-035;HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY;17 PARK STREET;HEADLAND;36345;3346932706;21888;-853418;3135233
AL;AL0025;999-061;BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY;164 SOUTH MAIN STREET;BRUNDIDGE;36010;3347352145;12863;-858156;3171847
AL;AL0026;999-079;OZARK - DALE COUNTY PUBLIC LIBRARY;416 JAMES STREET;OZARK;36360;3347745480;154391;-856329;3145211
AL;AL0029;517-001;CLIO - ELTON B. STEPHENS LIBRARY;17 SCHOOL STREET;CLIO;36017;3347334858;18760;-85612;3170873
AL;AL0030;517-003;LOUISVILLE PUBLIC LIBRARY;1951 MAIN STREET;LOUISVILLE;36048;3342665210;290;-855553;3178375
AL;AL0031;999-077;MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY;1318 HINTON WATERS AVENUE;MIDLAND CITY;36350;3349839999;12152;-854955;3131779
AL;AL0032;999-078;NEWTON PUBLIC LIBRARY;209 OATES DRIVE;NEWTON;36352;3342993316;5884;-855968;3133197
AL;AL0033;517-004;CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY;45 NORTH MIDWAY STREET;CLAYTON;36016;3347753506;3891;-854496;318809
AL;AL0034;999-060;TROY PUBLIC LIBRARY;500 EAST WALNUT STREET;TROY;36079;3345661314;104110;-859636;3180853
AL;AL0035;999-058;UNION SPRINGS PUBLIC LIBRARY;103 NORTH PRAIRIE STREET;UNION SPRINGS;36089;3347382760;6852;-857161;3214348
AL;AL0037;103-001;ANDALUSIA PUBLIC LIBRARY;212 SOUTH THREE NOTCH STREET;ANDALUSIA;36420;3342226612;35000;-864829;3130685
AL;AL0038;103-002;BRANTLEY PUBLIC LIBRARY;10 MLK DRIVE;BRANTLEY;36009;3345278624;3345;-862571;3158238
AL;AL0039;999-034;ELBA PUBLIC LIBRARY;406 SIMMONS STREET;ELBA;36323;3348976921;15600;-860662;3141455
AL;AL0040;103-004;GENEVA - EMMA KNOX KENAN LIBRARY;312 SOUTH COMMERCE STREET;GENEVA;36340;3346842459;12018;-858651;3103642
AL;AL0041;999-041;ENTERPRISE PUBLIC LIBRARY;101 EAST GRUBBS STREET;ENTERPRISE;36330;3343472636;84458;-858526;3131418
AL;AL0042;103-006;FLORALA PUBLIC LIBRARY;1214 FOURTH STREET;FLORALA;36442;3348583525;18844;-863253;3100823
AL;AL0043;103-007;HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY;101 EAST FULTON STREET;HARTFORD;36344;3345882384;10121;-856967;310983
AL;AL0044;103-008;LUVERNE PUBLIC LIBRARY;148 EAST THIRD STREET;LUVERNE;36049;3343355326;27692;-862609;3171631
AL;AL0045;103-009;OPP PUBLIC LIBRARY;1604 NORTH MAIN STREET;OPP;36467;3344936423;11049;-862549;3130544
AL;AL0046;103-010;SAMSON PUBLIC LIBRARY;200 NORTH JOHNSON STREET;SAMSON;36477;3348987806;3193;-860459;3111664
AL;AL0047;103-011;SLOCOMB PUBLIC LIBRARY;134 SOUTH DALTON AVENUE;SLOCOMB;36375;3348869009;4330;-855936;3110685
AL;AL0048;104-000;HORSESHOE BEND REGIONAL LIBRARY;207 NORTH WEST STREET;DADEVILLE;36853;2568259232;6031;-857654;3283346
AL;AL0049;104-001;ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY;318 CHURCH STREET;ALEXANDER CITY;35010;2563296796;46544;-859538;3294121
AL;AL0050;104-002;DADEVILLE PUBLIC LIBRARY;205 NORTH WEST STREET;DADEVILLE;36853;2568257820;25564;-857654;3283345
AL;AL0051;104-003;GOODWATER PUBLIC LIBRARY;62 COOSA COUNTY ROAD 66;GOODWATER;35072;2568395741;6022;-86054;3306711
AL;AL0052;104-004;AUBURN PUBLIC LIBRARY;749 EAST THACH AVENUE;AUBURN;36830;3345013190;173011;-854662;3260443
AL;AL0053;104-005;OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY;200 SOUTH 6TH STREET;OPELIKA;36801;3347055380;132725;-853758;3264914
AL;AL0054;104-006;MILLBROOK PUBLIC LIBRARY;3650 GRANDVIEW ROAD;MILLBROOK;36054;3342856688;58506;-863683;324829
AL;AL0055;104-007;ROCKFORD PUBLIC LIBRARY;9688 US HWY 231;ROCKFORD;35136;2563774911;1220;-862196;3288896
AL;AL0056;104-008;TALLASSEE COMMUNITY PUBLIC LIBRARY;99 FREEMAN AVENUE;TALLASSEE;36078;3342832732;19968;-858838;3253471
AL;AL0057;104-009;WETUMPKA PUBLIC LIBRARY;212 SOUTH MAIN STREET;WETUMPKA;36092;3345671308;27513;-862057;3253593
AL;AL0059;516-001;FLORENCE - LAUDERDALE PUBLIC LIBRARY;350 NORTH WOOD AVENUE;FLORENCE;35630;2567646564;227977;-876745;3480351
AL;AL0060;999-039;TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY;511 NORTH MAIN STREET;TUSCUMBIA;35674;2563837065;12689;-877034;347374
AL;AL0061;999-042;LEIGHTON PUBLIC LIBRARY;8740 MAIN STREET;LEIGHTON;35646;2564465380;4057;-875289;3470061
AL;AL0062;999-050;MUSCLE SHOALS PUBLIC LIBRARY;1918 EAST AVALON AVENUE;MUSCLE SHOALS;35661;2563869212;294233;-876438;3474442
AL;AL0063;516-004;ROGERSVILLE PUBLIC LIBRARY;74 BANK STREET;ROGERSVILLE;35652;2562470151;19069;-87292;3482427
AL;AL0064;999-066;SHEFFIELD PUBLIC LIBRARY;316 NORTH MONTGOMERY AVENUE;SHEFFIELD;35660;2563865633;34301;-876985;3476109
AL;AL0065;106-000;NORTHWEST REGIONAL LIBRARY;185 ASHWOOD DRIVE;WINFIELD;35594;2054872330;0;-878149;3393087
AL;AL0066;106-001;HAMILTON - CLYDE NIX PUBLIC LIBRARY;350 BEXAR AVENUE WEST;HAMILTON;35570;2059214290;11220;-879931;341435
AL;AL0067;106-002;KENNEDY PUBLIC LIBRARY;17885 HIGHWAY 96;KENNEDY;35574;2055963670;167;-879873;3358492
AL;AL0068;106-003;GUIN - MCHS COMMUNITY LIBRARY;8115 U.S. HIGHWAY 43;GUIN;35563;2054682544;9812;-879152;3397483
AL;AL0069;106-004;MILLPORT PUBLIC LIBRARY;920 BLACK STREET;MILLPORT;35576;2056624286;1498;-880775;3356142
AL;AL0070;106-005;RUSSELLVILLE PUBLIC LIBRARY;110 EAST LAWRENCE STREET;RUSSELLVILLE;35653;2563321535;13338;-877303;3450474
AL;AL0071;106-006;SULLIGENT PUBLIC LIBRARY;514 ELM STREET;SULLIGENT;35586;2056988631;6901;-881317;3390033
AL;AL0072;106-007;VERNON - MARY WALLACE COBB MEMORIAL LIBRARY;110 FIRST AVENUE WEST;VERNON;35592;2056956123;9979;-881107;3375793
AL;AL0073;106-008;RED BAY - WEATHERFORD PUBLIC LIBRARY;307 4TH AVENUE SOUTH;RED BAY;35582;2053569255;5205;-881417;3444051
AL;AL0074;106-009;WINFIELD PUBLIC LIBRARY;185 ASHWOOD DRIVE;WINFIELD;35594;2054872484;13321;-878149;3393087
AL;AL0076;107-001;ATHENS - LIMESTONE PUBLIC LIBRARY;603 JEFFERSON STREET;ATHENS;35611;2562321233;107774;-869723;3479901
AL;AL0077;107-002;DECATUR PUBLIC LIBRARY;504 CHERRY STREET NE;DECATUR;35601;2563532993;163906;-869816;3460711
AL;AL0078;107-003;HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE;152 SPARKMAN STREET NW;HARTSELLE;35640;2567739880;13750;-869349;3444424
AL;AL0079;107-004;LAWRENCE COUNTY PUBLIC LIBRARY;401 COLLEGE STREET;MOULTON;35650;2569740883;24419;-872954;3447608
AL;AL0080;500-000;BALDWIN COUNTY LIBRARY COOPERATIVE;22251 PALMER STREET;ROBERTSDALE;36567;2519704010;21235;-877168;3055024
AL;AL0081;500-001;DAPHNE PUBLIC LIBRARY;2607 U.S. HIGHWAY 98;DAPHNE;36526;2516202500;148820;-87905;3061772
AL;AL0082;500-002;FAIRHOPE PUBLIC LIBRARY;501 FAIRHOPE AVENUE;FAIRHOPE;36532;2519287483;187273;-879003;3052306
AL;AL0083;999-072;FOLEY PUBLIC LIBRARY;319 EAST LAUREL AVENUE;FOLEY;36535;2519437665;478144;-876789;3040641
AL;AL0084;500-004;BAY MINETTE PUBLIC LIBRARY;205 WEST SECOND STREET;BAY MINETTE;36507;2515801648;59000;-877767;3088234
AL;AL0085;500-005;LOXLEY PUBLIC LIBRARY;1001 EAST LOXLEY AVENUE;LOXLEY;36551;2519645695;2656;-877528;3061994
AL;AL0086;500-006;OSCAR JOHNSON MEMORIAL LIBRARY;21967 SIXTH STREET;SILVERHILL;36576;2519455201;1800;-877518;3054508
AL;AL0087;999-071;ROBERTSDALE PUBLIC LIBRARY;18301 PENNSYLVANIA STREET;ROBERTSDALE;36567;2519478960;73326;-877119;3055364
AL;AL0088;500-008;GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY;221 WEST 19TH AVENUE;GULF SHORES;36542;2519681176;137386;-876902;3027246
AL;AL0090;501-001;ADAMSVILLE PUBLIC LIBRARY;4825 MAIN STREET;ADAMSVILLE;35005;2056743399;10345;-869532;3360013
AL;AL0091;501-002;BESSEMER PUBLIC LIBRARY;400 19TH STREET N;BESSEMER;35020;2054287882;165888;-869547;3340322
AL;AL0092;501-003;MOUNTAIN BROOK - EMMET O`NEAL LIBRARY;50 OAK STREET;MOUNTAIN BROOK;35213;2058790459;258097;-867556;3350098
AL;AL0093;501-004;FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY;4615 GARY AVENUE;FAIRFIELD;35064;2057836007;14280;-869152;334913
AL;AL0094;501-005;FULTONDALE PUBLIC LIBRARY;500 BYRD LANE;FULTONDALE;35068;2058496335;65000;-868508;3361464
AL;AL0095;501-006;GARDENDALE - MARTHA MOORE PUBLIC LIBRARY;995 MT. OLIVE ROAD;GARDENDALE;35071;2056316639;88572;-868186;3365075
AL;AL0096;501-007;GRAYSVILLE PUBLIC LIBRARY;315 SOUTH MAIN STREET;GRAYSVILLE;35073;2056743040;11524;-869733;3362655
AL;AL0097;501-008;HOMEWOOD PUBLIC LIBRARY;1721 OXMOOR ROAD;HOMEWOOD;35209;2053326600;446364;-867953;3347551
AL;AL0098;501-009;HOOVER PUBLIC LIBRARY;200 MUNICIPAL DRIVE;HOOVER;35216;2054447800;553787;-868059;3338883
AL;AL0099;501-010;HUEYTOWN PUBLIC LIBRARY;1372 HUEYTOWN ROAD;HUEYTOWN;35023;2054911443;30412;-869969;3344806
AL;AL0100;501-011;IRONDALE PUBLIC LIBRARY;105 20TH STREET SOUTH;IRONDALE;35210;2059511415;22565;-867066;3353786
AL;AL0101;501-012;LEEDS - JANE CULBRETH LIBRARY;8104 PARKWAY DRIVE;LEEDS;35094;2056995962;45950;-865417;3354351
AL;AL0102;501-013;MIDFIELD PUBLIC LIBRARY;400 BRELAND DRIVE;MIDFIELD;35228;2059231027;29896;-869156;3345765
AL;AL0103;501-014;PLEASANT GROVE PUBLIC LIBRARY;501 PARK ROAD;PLEASANT GROVE;35127;2057441742;22952;-869709;3349099
AL;AL0104;501-015;TARRANT PUBLIC LIBRARY;1143 FORD AVENUE;TARRANT;35217;2058410575;27142;-867703;3358343
AL;AL0105;501-016;TRUSSVILLE PUBLIC LIBRARY;201 PARKWAY DRIVE;TRUSSVILLE;35173;2056552022;133996;-866046;3362652
AL;AL0106;501-017;VESTAVIA HILLS LIBRARY IN THE FOREST;1221 MONTGOMERY HIGHWAY;VESTAVIA HILLS;35216;2059780155;435933;-867881;3343501
AL;AL0107;501-018;WARRIOR PUBLIC LIBRARY;101 FIRST STREET;WARRIOR;35180;2056473006;19744;-868079;3381341
AL;AL0108;501-019;BIRMINGHAM PUBLIC LIBRARY;2100 PARK PLACE;BIRMINGHAM;35203;2052263610;1267466;-868078;3352058
AL;AL0109;504-000;FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY;504 GRAND AVENUE NW;FORT PAYNE;35967;2568452671;28059;-857199;3444529
